date,payee,category,amount,account,type
2025-09-05,Payroll,Salary,6200,Checking,income
2025-09-06,Netflix,Subscriptions,-15.49,Credit card,expense
2025-09-06,Riverside Properties,Rent,-7.2,Checking,expense
2025-09-06,Spotify,Subscriptions,-11.99,Credit card,expense
2025-09-07,City Transit,Transport,-56.82,Credit card,expense
2025-09-07,Costco,Groceries,-8.79,Credit card,expense
2025-09-07,Riverside Properties,Rent,-4.18,Credit card,expense
2025-09-09,Riverside Properties,Rent,-0.69,Credit card,expense
2025-09-10,Fitness Planet,Gym,-127.77,Credit card,expense
2025-09-10,Nike,Shopping,-149.96,Credit card,expense
2025-09-10,Uniqlo,Shopping,-141.26,Credit card,expense
2025-09-11,Riverside Properties,Rent,-0.89,Credit card,expense
2025-09-11,Riverside Properties,Rent,-0.57,Checking,expense
2025-09-12,Gas Co,Utilities,-34.68,Checking,expense
2025-09-12,Riverside Properties,Rent,-7.89,Checking,expense
2025-09-12,Riverside Properties,Rent,-5.35,Checking,expense
2025-09-13,Local Bistro,Dining out,-80.57,Credit card,expense
2025-09-13,Riverside Properties,Rent,-4.79,Credit card,expense
2025-09-13,Safeway,Groceries,-43.8,Checking,expense
2025-09-14,Riverside Properties,Rent,-5.91,Checking,expense
2025-09-14,Riverside Properties,Rent,-2.66,Checking,expense
2025-09-15,Coffee Shop,Dining out,-148.31,Checking,expense
2025-09-15,Riverside Properties,Rent,-5.06,Credit card,expense
2025-09-16,Renters Insurance,Insurance,-31.28,Checking,expense
2025-09-17,Hydro Co,Utilities,-87.88,Checking,expense
2025-09-17,Lidl,Groceries,-25.06,Credit card,expense
2025-09-17,Riverside Properties,Rent,-1.94,Credit card,expense
2025-09-18,Coffee Shop,Dining out,-75.16,Credit card,expense
2025-09-19,Lidl,Groceries,-75.71,Credit card,expense
2025-09-19,Payroll,Salary,6200,Checking,income
2025-09-19,Riverside Properties,Rent,-4.35,Credit card,expense
2025-09-19,Riverside Properties,Rent,-2.21,Checking,expense
2025-09-20,Riverside Properties,Rent,-3.67,Credit card,expense
2025-09-20,Steam,Entertainment,-95.9,Credit card,expense
2025-09-22,Mobile Carrier,Utilities,-64.92,Checking,expense
2025-09-22,Riverside Properties,Rent,-4.99,Credit card,expense
2025-09-22,Safeway,Groceries,-35.36,Credit card,expense
2025-09-23,Lidl,Groceries,-67.74,Credit card,expense
2025-09-23,Uber,Transport,-134.89,Credit card,expense
2025-09-24,Riverside Properties,Rent,-6.76,Credit card,expense
2025-09-24,Riverside Properties,Rent,-3.74,Credit card,expense
2025-09-27,Riverside Properties,Rent,-6.07,Credit card,expense
2025-09-27,Riverside Properties,Rent,-4.78,Credit card,expense
2025-09-27,Whole Foods,Groceries,-75.86,Credit card,expense
2025-09-28,Shell,Transport,-29.3,Checking,expense
2025-09-29,Spotify,Entertainment,-95.78,Checking,expense
2025-09-30,Riverside Properties,Rent,-0.11,Credit card,expense
2025-10-01,Renters Insurance,Insurance,-127.44,Checking,expense
2025-10-01,Riverside Properties,Rent,-3.55,Credit card,expense
2025-10-01,Riverside Properties,Rent,-3.55,Credit card,expense
2025-10-02,Hydro Co,Utilities,-93.48,Checking,expense
2025-10-02,Riverside Properties,Rent,-5.59,Credit card,expense
2025-10-02,Riverside Properties,Rent,-4.99,Checking,expense
2025-10-03,Riverside Properties,Rent,-1900,Checking,expense
2025-10-03,Riverside Properties,Rent,-6.37,Credit card,expense
2025-10-04,Auto Insurance,Insurance,-130,Checking,expense
2025-10-04,Fitness Planet,Gym,-45,Checking,expense
2025-10-04,Pharmacy,Health,-130.31,Credit card,expense
2025-10-04,Pharmacy,Health,-89.42,Credit card,expense
2025-10-04,Safeway,Groceries,-110.4,Credit card,expense
2025-10-05,EV Charging,Transport,-147.0,Credit card,expense
2025-10-05,Local Bistro,Dining out,-154.24,Credit card,expense
2025-10-05,Payroll,Salary,6200,Checking,income
2025-10-05,Pizza Place,Dining out,-54.08,Credit card,expense
2025-10-06,IKEA,Shopping,-56.89,Checking,expense
2025-10-06,Netflix,Subscriptions,-15.49,Credit card,expense
2025-10-06,Riverside Properties,Rent,-5.53,Checking,expense
2025-10-06,Riverside Properties,Rent,-4.27,Checking,expense
2025-10-06,Spotify,Subscriptions,-11.99,Credit card,expense
2025-10-07,Riverside Properties,Rent,-2.07,Credit card,expense
2025-10-07,Uniqlo,Shopping,-55.56,Credit card,expense
2025-10-08,Riverside Properties,Rent,-5.64,Credit card,expense
2025-10-08,Riverside Properties,Rent,-3.44,Credit card,expense
2025-10-09,Coffee Shop,Dining out,-82.22,Credit card,expense
2025-10-09,Renters Insurance,Insurance,-78.05,Checking,expense
2025-10-09,Riverside Properties,Rent,-5.94,Checking,expense
2025-10-14,Costco,Groceries,-18.33,Credit card,expense
2025-10-14,Lidl,Groceries,-77.31,Credit card,expense
2025-10-14,Riverside Properties,Rent,-2.73,Credit card,expense
2025-10-16,Lidl,Groceries,-117.77,Checking,expense
2025-10-16,Safeway,Groceries,-130.54,Credit card,expense
2025-10-16,Whole Foods,Groceries,-87.71,Credit card,expense
2025-10-17,Riverside Properties,Rent,-1.48,Checking,expense
2025-10-18,Fitness Planet,Gym,-53.6,Credit card,expense
2025-10-18,Riverside Properties,Rent,-7.25,Checking,expense
2025-10-18,Safeway,Groceries,-77.77,Credit card,expense
2025-10-19,Payroll,Salary,6200,Checking,income
2025-10-19,Riverside Properties,Rent,-2.91,Credit card,expense
2025-10-19,Riverside Properties,Rent,-0.84,Credit card,expense
2025-10-19,Safeway,Groceries,-106.03,Checking,expense
2025-10-20,Coffee Shop,Dining out,-80.28,Credit card,expense
2025-10-22,IKEA,Shopping,-108.03,Credit card,expense
2025-10-22,Uniqlo,Shopping,-10.38,Credit card,expense
2025-10-23,EV Charging,Transport,-149.19,Checking,expense
2025-10-24,Riverside Properties,Rent,-2.58,Checking,expense
2025-10-25,Riverside Properties,Rent,-7.57,Checking,expense
2025-10-25,Riverside Properties,Rent,-5.28,Checking,expense
2025-10-25,Uber,Transport,-128.16,Credit card,expense
2025-10-26,Riverside Properties,Rent,-3.58,Checking,expense
2025-10-26,Trader Joe's,Groceries,-127.1,Checking,expense
2025-10-27,Coffee Shop,Dining out,-108.42,Credit card,expense
2025-10-27,Costco,Groceries,-65.76,Credit card,expense
2025-10-27,Internet Co,Utilities,-129.3,Credit card,expense
2025-10-28,Riverside Properties,Rent,-7.27,Checking,expense
2025-10-28,Riverside Properties,Rent,-7.18,Credit card,expense
2025-10-28,Sushi Bar,Dining out,-92.66,Checking,expense
2025-11-01,Riverside Properties,Rent,-1.77,Credit card,expense
2025-11-01,Riverside Properties,Rent,-1.09,Credit card,expense
2025-11-02,Riverside Properties,Rent,-6.89,Checking,expense
2025-11-03,Riverside Properties,Rent,-1900,Checking,expense
2025-11-03,Riverside Properties,Rent,-6.66,Checking,expense
2025-11-03,Riverside Properties,Rent,-1.74,Checking,expense
2025-11-04,Auto Insurance,Insurance,-130,Checking,expense
2025-11-04,Fitness Planet,Gym,-45,Checking,expense
2025-11-04,Notion,Subscriptions,-98.26,Credit card,expense
2025-11-04,Riverside Properties,Rent,-5.56,Checking,expense
2025-11-05,Concert Hall,Entertainment,-130.22,Checking,expense
2025-11-05,Payroll,Salary,6200,Checking,income
2025-11-05,Riverside Properties,Rent,-1.48,Credit card,expense
2025-11-06,Netflix,Subscriptions,-15.49,Credit card,expense
2025-11-06,Renters Insurance,Insurance,-52.3,Checking,expense
2025-11-06,Riverside Properties,Rent,-4.17,Credit card,expense
2025-11-06,Spotify,Subscriptions,-11.99,Credit card,expense
2025-11-07,Riverside Properties,Rent,-1.47,Checking,expense
2025-11-08,Lidl,Groceries,-38.37,Credit card,expense
2025-11-08,Riverside Properties,Rent,-0.38,Checking,expense
2025-11-09,Riverside Properties,Rent,-1.35,Credit card,expense
2025-11-10,Lidl,Groceries,-80.84,Checking,expense
2025-11-10,Riverside Properties,Rent,-2.93,Credit card,expense
2025-11-10,Riverside Properties,Rent,-2.28,Checking,expense
2025-11-11,Coffee Shop,Dining out,-14.73,Checking,expense
2025-11-11,Costco,Groceries,-107.96,Checking,expense
2025-11-11,Riverside Properties,Rent,-2.39,Credit card,expense
2025-11-12,Renters Insurance,Insurance,-24.1,Credit card,expense
2025-11-12,Riverside Properties,Rent,-4.43,Checking,expense
2025-11-13,Costco,Groceries,-60.95,Checking,expense
2025-11-13,Gas Co,Utilities,-60.44,Credit card,expense
2025-11-13,Riverside Properties,Rent,-4.67,Credit card,expense
2025-11-14,Mobile Carrier,Utilities,-60.94,Credit card,expense
2025-11-14,Riverside Properties,Rent,-5.45,Checking,expense
2025-11-14,Whole Foods,Groceries,-11.43,Checking,expense
2025-11-16,Nike,Shopping,-86.43,Credit card,expense
2025-11-17,Riverside Properties,Rent,-6.15,Checking,expense
2025-11-17,Riverside Properties,Rent,-2.88,Checking,expense
2025-11-18,Chipotle,Dining out,-95.76,Credit card,expense
2025-11-18,Lidl,Groceries,-142.23,Checking,expense
2025-11-18,Riverside Properties,Rent,-7.96,Credit card,expense
2025-11-19,Payroll,Salary,6200,Checking,income
2025-11-19,Riverside Properties,Rent,-7.09,Checking,expense
2025-11-19,Riverside Properties,Rent,-3.22,Checking,expense
2025-11-21,IKEA,Shopping,-20.88,Credit card,expense
2025-11-21,Riverside Properties,Rent,-3.06,Checking,expense
2025-11-22,Riverside Properties,Rent,-4.65,Credit card,expense
2025-11-22,Trader Joe's,Groceries,-25.78,Checking,expense
2025-11-23,Riverside Properties,Rent,-5.69,Credit card,expense
2025-11-23,Riverside Properties,Rent,-3.04,Checking,expense
2025-11-23,Riverside Properties,Rent,-2.92,Credit card,expense
2025-11-25,Riverside Properties,Rent,-4.67,Checking,expense
2025-11-25,Riverside Properties,Rent,-3.48,Credit card,expense
2025-11-25,Safeway,Groceries,-154.5,Checking,expense
2025-11-26,Costco,Groceries,-89.72,Credit card,expense
2025-11-26,Mobile Carrier,Utilities,-91.56,Credit card,expense
2025-11-28,EV Charging,Transport,-91.05,Checking,expense
2025-11-28,Internet Co,Utilities,-90.39,Credit card,expense
2025-11-30,Riverside Properties,Rent,-4.4,Checking,expense
2025-12-03,Coffee Shop,Dining out,-112.75,Checking,expense
2025-12-03,Riverside Properties,Rent,-1900,Checking,expense
2025-12-04,Airbnb,Travel,-570.37,Credit card,expense
2025-12-04,Auto Insurance,Insurance,-130,Checking,expense
2025-12-04,Fitness Planet,Gym,-45,Checking,expense
2025-12-04,Internet Co,Utilities,-88.91,Credit card,expense
2025-12-05,Booking.com,Travel,-1180.38,Credit card,expense
2025-12-05,Payroll,Salary,6200,Checking,income
2025-12-05,Spotify,Subscriptions,-28.61,Checking,expense
2025-12-05,Uniqlo,Shopping,-139.79,Credit card,expense
2025-12-06,Netflix,Subscriptions,-15.49,Credit card,expense
2025-12-06,Riverside Properties,Rent,-1.37,Checking,expense
2025-12-06,Spotify,Subscriptions,-11.99,Credit card,expense
2025-12-07,Riverside Properties,Rent,-4.38,Credit card,expense
2025-12-07,Riverside Properties,Rent,-2.44,Checking,expense
2025-12-08,EV Charging,Transport,-104.5,Checking,expense
2025-12-08,Riverside Properties,Rent,-1.05,Credit card,expense
2025-12-08,Walk-in Clinic,Health,-68.45,Checking,expense
2025-12-09,Riverside Properties,Rent,-5.3,Credit card,expense
2025-12-09,Riverside Properties,Rent,-1.69,Credit card,expense
2025-12-09,Safeway,Groceries,-10.47,Credit card,expense
2025-12-11,Local Bistro,Dining out,-142.09,Checking,expense
2025-12-11,Pizza Place,Dining out,-22.19,Checking,expense
2025-12-11,Riverside Properties,Rent,-2.68,Credit card,expense
2025-12-12,Airbnb,Travel,-1095.65,Credit card,expense
2025-12-12,Lidl,Groceries,-42.38,Checking,expense
2025-12-12,Riverside Properties,Rent,-7.99,Checking,expense
2025-12-12,Trader Joe's,Groceries,-132.2,Checking,expense
2025-12-13,Riverside Properties,Rent,-2.87,Credit card,expense
2025-12-13,Safeway,Groceries,-21.58,Credit card,expense
2025-12-13,Trader Joe's,Groceries,-141.91,Credit card,expense
2025-12-14,Airbnb,Travel,-1028.35,Credit card,expense
2025-12-14,IKEA,Shopping,-112.36,Credit card,expense
2025-12-14,Riverside Properties,Rent,-2.98,Credit card,expense
2025-12-14,Whole Foods,Groceries,-29.28,Credit card,expense
2025-12-15,Hydro Co,Utilities,-136.88,Checking,expense
2025-12-15,Riverside Properties,Rent,-6.01,Checking,expense
2025-12-15,Riverside Properties,Rent,-5.48,Credit card,expense
2025-12-16,Airbnb,Travel,-1075.48,Credit card,expense
2025-12-16,Riverside Properties,Rent,-6.07,Credit card,expense
2025-12-16,Riverside Properties,Rent,-1.73,Credit card,expense
2025-12-16,Riverside Properties,Rent,-0.1,Checking,expense
2025-12-17,Railway,Travel,-1349.68,Credit card,expense
2025-12-17,Riverside Properties,Rent,-1.9,Credit card,expense
2025-12-17,Whole Foods,Groceries,-10.1,Credit card,expense
2025-12-18,Lidl,Groceries,-89.72,Credit card,expense
2025-12-18,Railway,Travel,-485.31,Credit card,expense
2025-12-18,Riverside Properties,Rent,-4.61,Checking,expense
2025-12-19,Airbnb,Travel,-754.7,Credit card,expense
2025-12-19,Payroll,Salary,6200,Checking,income
2025-12-19,Riverside Properties,Rent,-3.31,Credit card,expense
2025-12-20,Airbnb,Travel,-892.48,Credit card,expense
2025-12-21,Airline,Travel,-1418.6,Credit card,expense
2025-12-21,Costco,Groceries,-114.63,Credit card,expense
2025-12-21,Riverside Properties,Rent,-5.53,Credit card,expense
2025-12-21,Riverside Properties,Rent,-3.82,Checking,expense
2025-12-22,Booking.com,Travel,-557.09,Credit card,expense
2025-12-24,Airline,Travel,-883.67,Credit card,expense
2025-12-24,Lidl,Groceries,-33.37,Credit card,expense
2025-12-24,Shell,Transport,-83.41,Checking,expense
2025-12-25,Airline,Travel,-531.14,Credit card,expense
2025-12-25,Shell,Transport,-14.69,Credit card,expense
2025-12-26,Chipotle,Dining out,-92.04,Checking,expense
2025-12-26,Railway,Travel,-929.51,Credit card,expense
2025-12-27,Booking.com,Travel,-688.12,Credit card,expense
2025-12-27,Coffee Shop,Dining out,-157.17,Checking,expense
2025-12-27,Spotify,Entertainment,-26.15,Credit card,expense
2025-12-28,Booking.com,Travel,-922.3,Credit card,expense
2025-12-28,Riverside Properties,Rent,-7.94,Credit card,expense
2025-12-28,Riverside Properties,Rent,-2.08,Credit card,expense
2025-12-29,Fitness Planet,Gym,-119.33,Credit card,expense
2025-12-29,Riverside Properties,Rent,-0.39,Credit card,expense
2025-12-29,Safeway,Groceries,-11.63,Checking,expense
2025-12-30,Auto Insurance,Insurance,-116.17,Credit card,expense
2025-12-30,Riverside Properties,Rent,-4.64,Credit card,expense
2025-12-30,Walk-in Clinic,Health,-54.74,Credit card,expense
2025-12-31,Railway,Travel,-669.99,Credit card,expense
2025-12-31,Riverside Properties,Rent,-7.4,Credit card,expense
2025-12-31,Riverside Properties,Rent,-3.35,Credit card,expense
